Summary,Issue key,Issue Type,Status,Priority,Reporter,Creator,Created,Updated,Description,Environment,Watchers,Watchers3,Watchers Id,Watchers Id4,Watchers Id5,Watchers Id6,Watchers Id7,Custom field (Customer Benefit),Custom field (Customer Contact Details),Custom field (Customer Impact),Custom field (Customer/s),Custom field (Customer_id),Custom field (Customers),Custom field (Customers Preferred Email Address),Custom field (Delivery progress),Custom field (Module),Custom field (Module)8,Custom field (The problem we are trying to solve is),Custom field (The why for MWI AH),Custom field (Theme),Custom field (To Version - Build),Custom field (Total forms),Custom field (Type of Testing),Custom field (UAT Instance Provisioned),Custom field (URL),Custom field (Upgrade type),Custom field (Vulnerability),Custom field (WF Host),Custom field (What is the current impact of not having this available?),Custom field (What is the success criteria?),Status Category Changed
"Dispensing treatment list, wanting other categories of surgeon type to display",CE-503,Idea,Closed,Major,Oscar Waldorf,Oscar Waldorf,22/09/2022 13:07,15/12/2022 13:33,"On the Dispensing treatment list, wanting other categories of surgeon type to display e.g. nurse",,Oscar Waldorf,Yaraslava Tkachova,5eed3546e145af0ab4a603b1,62e0eb6c3780798663d07fcf,,,,,,,Pet Vet Ltd. (Thornhill - M),,,,,,,"If you categorise a ‘Surgeon’ as anything but surgeon (ie nurse)

They do not appear on the dispensing list for medication.",,,,,,,,,,,"Nurses, manager etc have to be categorised as surgeon to be able to dispense medication",,15/12/2022 13:33
Option to sort batch numbers in order of expiry date when dispensing,CE-502,Idea,Closed,Major,Jake Thompson,Jake Thompson,21/09/2022 11:07,15/12/2022 13:31,“ordered chronologically in batch traceability so that the stock due to expire soonest is automatically set to the top of the list”,,Jake Thompson,,610a4caa627b5600681ae343,,,,,Additional functionality,,,Blue Cross Animal Hospital,,,,,Stock Control,,"“When we dispense items from the consulting room, we cannot be sure we are selecting the appropriate batch from the list displayed in Merlin. Stock is rotated on our dispensary shelves with the soon to expire sat at the front of the shelves to be dispensed first. Merlin should be able to replicate this so the product at the top of the list is the one with the shortest expiry date.”",,,,,,,,,,,"“Selecting wrong batch, details printed on the label therefore don’t match what is on the drug packaging”",,15/12/2022 13:31
"Remove duplicate Clients from ""Recently Accessed"" list",CE-501,Idea,Idea Pipeline,Major,Jake Thompson,Jake Thompson,21/09/2022 10:43,11/01/2023 16:13,"“Go back to accurately showing recently accessed clients rather than duplicating the same client multiple times at the same time of access.”



Jira for this has been closed: [https://mwiah.atlassian.net/browse/MERLIN-25398|https://mwiah.atlassian.net/browse/MERLIN-25398|smart-link] 



Practice would like to return to the previous functionality, displaying the previous Clients accessed but removing any duplicates.",,Jake Thompson,,610a4caa627b5600681ae343,,,,,Improved user experience,,,Sherwood Veterinary Services,,,,,Client/Patient Management,,“Finding clients/patients we have recently called up”,,,,,,,,,,,“It is now much more difficult to access previously accessed clients”,,21/09/2022 10:43
VetHelpDirect - Payments paid via the Merlin API do not update on client's running balance on the Merlin system,CE-500,Idea,Closed,Major,Pratima Gurung,Pratima Gurung,20/09/2022 09:03,15/12/2022 13:26,Payments paid via the Merlin API do not dynamically update the balance at the bottom of the screen on the Merlin web interface or app until a manually refresh is done (either in the browser or by restarting the app).,,Pratima Gurung,,5eed354270fb110aba57b4fa,,,,,Improved workflow,,,Vet help direct,,,,,Finance/Accounts,,Solution: Having an automatic refresh triggered when a payment is received.,,,,,,,,,,,"Back and forth between the client and clinic, support calls to VHD and Merlin.",,15/12/2022 13:26
Single Sign On (SSO),CE-499,Epic,Idea Pipeline,Major,Micheal Aderinto,Micheal Aderinto,07/09/2022 10:31,07/09/2022 10:33,,,Micheal Aderinto,,625a831556e5a8006ddb7b2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/09/2022 10:31
Adding a Purchase Order Number to an invoice header,CE-498,Idea,Closed,Major,Evelyn Seegers,Evelyn Seegers,05/09/2022 09:17,15/12/2022 13:25,The ability to Add a Purchase Order number to Invoices,,Evelyn Seegers,Yaraslava Tkachova,5eed3543ab91dc0bc901d55e,62e0eb6c3780798663d07fcf,,,,Additional functionality,,,Downe VetClinic,,,,,Finance/Accounts,,There is no facility to include PO numbers on an invoice,,,,,,,,,,,"We have to print the invoices, write the PO on them and then post them",,15/12/2022 13:25
Pop-up message on Diary to notify users of daily important messages/reminders,CE-497,Idea,Closed,Major,Jake Thompson,Jake Thompson,24/08/2022 08:43,15/12/2022 13:23,"“Pop up / alert/reminder system on diary”

Practice would like to see an optional pop-up message in the Merlin Diary to notify users of important information as necessary when the navigate to the Diary",,Jake Thompson,Yaraslava Tkachova,610a4caa627b5600681ae343,62e0eb6c3780798663d07fcf,,,,Improved user experience,,,Southern Isles Vet Practice,,,,,Diary/Daylists,,"“Remember tasks etc - e.g special order to be submitted, if someone on annual leave, to organise ferry bookings for vets, certain client that needs called etc etc”",,,,,,,,,,,“Forgetting tasks/ having to take note in a paper diary / pad.”,,15/12/2022 13:23
Home delivery,CE-496,Epic,Closed,Major,Micheal Aderinto,Micheal Aderinto,15/08/2022 13:11,08/12/2022 08:19,"There is a requirement to implement the following features in the Home Delivery Module

# Requirement for orders to be sent in real time
# Requirement to differentiate between orders rejected by pharmacy vs orders cancelled by practice
# Requirement for textarea so as to be able to extra information
# Requirement for status and icons to be accurate in real time
# Requirement for Merlin to provide stock levels in real time



So that we can improve user experience and customer satisfaction.",,Craig Herrington,Micheal Aderinto,5ecfbfd00e595d0c34457af8,625a831556e5a8006ddb7b2f,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 08:19
Merlin and API calls to handle mobile numbers with/without spaces during seaches/matches ,CE-495,Idea,Closed,Major,James Bird,James Bird,15/08/2022 12:49,15/12/2022 13:22,"Originally raised as JIRAs here:  

[https://mwiah.atlassian.net/browse/MERLIN-25460|https://mwiah.atlassian.net/browse/MERLIN-25460|smart-link] 

[https://mwiah.atlassian.net/browse/MERLIN-25485|https://mwiah.atlassian.net/browse/MERLIN-25485|smart-link] 

+Customer Enhancement Questions+:



|*Description of the Request:*|Merlin and API calls to trim or not include spaces when searching for customer phone numbers.|
|*The problem we are trying to solve is?*|No results are returned unless there is a 100% match on spaces contained within the telephone number.
 
+*EXAMPLE - API CALL:  v2/clients/clients/4/GET*+ 
With Merlin mob phone: 07777 123456 and making call with 07777 123456 - API call succeeds, finds correct client With Merlin mob phone: 07777 123456 and making call with 07777123456 - API call succeeds but does not match with client With Merlin mob phone: 07777123456 and making call with 07777 123456 - API call succeeds but does not match with client With Merlin mob phone: 07777123456 and making call with 07777123456 - API call succeeds, finds correct client
The same functionality/rules apply to the Merlin system.|
|*I want to be able to do/have?*|Clinical staff need to be able to search for a client's phone number using widley used format. It is a common occurence that phone numbers are presented with a space in for readability so tend to be entered in this manner.|
|*What is the current impact of not having this available?*|Currently, a search for a phone number will need to match _exactly_ the way it is stored in the PMS to receive a result. This means that clinical staff believe the system (either Digital Practice and/or the Merlin API) is broken and support tickets are raised.|
|*How would you like this to work? (please provide a step by step workflow):*|This is covered in the problem description above, the clinic should be able to enter a phone number in a transparent manner and receive results.|
|*What would be the benefit of having this feature?*|Optimising workflows for clinics and enabling more timely client and patient care. Reduction in support calls and development time with debugging issues that turn out to be a known defect in a 3rd party service.|",,James Bird,,5eed2c06a228c50ab951b6bf,,,,,Improved workflow,,,VetHelp1Direct on behalf of Bicester Vets,,,,,Client/Patient Management,,"|No results are returned unless there is a 100% match on spaces contained within the telephone number.
 
+*EXAMPLE - API CALL:  v2/clients/clients/4/GET*+ 
With Merlin mob phone: 07777 123456 and making call with 07777 123456 - API call succeeds, finds correct client With Merlin mob phone: 07777 123456 and making call with 07777123456 - API call succeeds but does not match with client With Merlin mob phone: 07777123456 and making call with 07777 123456 - API call succeeds but does not match with client With Merlin mob phone: 07777123456 and making call with 07777123456 - API call succeeds, finds correct client
The same functionality/rules apply to the Merlin system.|",,,,,,,,,,,"|Currently, a search for a phone number will need to match _exactly_ the way it is stored in the PMS to receive a result. This means that clinical staff believe the system (either Digital Practice and/or the Merlin API) is broken and support tickets are raised.|",,15/12/2022 13:22
Pop-up message for duplicate appointments,CE-494,Idea,Closed,Major,Jake Thompson,Jake Thompson,12/08/2022 11:45,15/12/2022 13:21,"“Appointment pop-up”



Practice would like a pop-up message to be presented to the user to notify them when an appointment has been booked in for a patient that already has an existing appointment booked",,Jake Thompson,Yaraslava Tkachova,610a4caa627b5600681ae343,62e0eb6c3780798663d07fcf,,,,Improved user experience,,,Cobham Park Veterinary Clinic,,,,,Client/Patient Management,,"“Duplicate bookings”



Practice have expressed that occasionally appointments are being booked more than once. Currently, the only way to check this would be to view all appointments for the client",,,,,,,,,,,“Duplicate bookings and business loss/missed appointments/not enough appointments for pets that need to be seen”,,15/12/2022 13:21
Robert Pontefract Vets - Turnover Report requested- Client PostCode and total Turnover during two defined periods- Ticket: 305978,CE-493,Idea,Closed,Major,Andrew Frye,Andrew Frye,12/08/2022 10:53,15/12/2022 13:18,"A customer (Robert Pontefract Vets) has been in contact and requested some information that is not easily obtainable within Merlin.

 Information being requested: 

Report specification: Column 1: Client PostCode (or Contact ID), Column 2: Total Turnover (treatments added to any animal during period set) 



The customer would like this information for all clients across both sites and sorted by Turnover value (highest first). Turnover has been defined as Treatments given during this period. 

This request has been processed by DMS as a one-off report, but the customer has advised that they would like to run this at future dates too, so a Customer Enhancement has also been requested.

Attached is the script created by DMS which provides this information for a 12-month period.",,Andrew Frye,Yaraslava Tkachova,5eed2c1402b4400ac4dc0b09,62e0eb6c3780798663d07fcf,,,,Improved Reporting,,,Robert Pontefract Vets (Only Robert at this practice),,,,,Reporting,,"The customer wanted to find a list of their top spending/clients, but as this information is being provided to a third party, he did not want any PII to be shown, hence the Postcode/Contact ID to be shown instead.",,,,,,,,,,,DMS Team had to provide this report at a cost to the customer.,,15/12/2022 13:18
Smaller suppliers not integrated to have an add stock button. ,CE-492,Idea,Closed,Major,Oscar Waldorf,Oscar Waldorf,10/08/2022 14:03,15/12/2022 13:16,"For smaller suppliers that are not integrated, wanting an add stock button. ",,Oscar Waldorf,,5eed3546e145af0ab4a603b1,,,,,,,,Broad Lane Veterinary Surgery (Coventry-M),,,,,,,Being able to have a more automated stock control ,,,,,,,,,,,Lots of wasted man hours plus more room for human error ,,15/12/2022 13:16
Rename 'Modify' button on the Reception screen,CE-491,Idea,Closed,Major,Yaraslava Tkachova,Yaraslava Tkachova,09/08/2022 15:14,15/12/2022 13:15,"On the reception screen and the patient details screen the button is called ‘Modify’. On the other screens the button with the same functionnality is called ‘Edit’

The Reception screen:

!image-20220809-141000.png|width=205,height=58!

Patient details screen:

!Screenshot 2022-08-11 at 12.09.45.png|width=301,height=89!

The Diary screen:

!image-20220809-141053.png|width=220,height=37!

The waiting list screen:

!image-20220809-141144.png|width=151,height=26!",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,Different naming can confuse new users + it permit intuitively understand functionnality on other screens.,,,,,,,,,,,,,15/12/2022 13:15
Display delivery of medication status ,CE-490,Idea,Closed,Major,Yaraslava Tkachova,Yaraslava Tkachova,09/08/2022 15:05,12/12/2022 10:57,We can provide the practices with functionnality of displaying actual status of medications sent via home delivery service.,,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,During the demo session enregistered on sharepont was mentioned that practices can’t tell the client where their parcel with worm/flea treatment is.,,12/12/2022 10:57
SMS Messages - 160-Character Limit should be made clearer in Merlin and Merlin Manual - Customers potentially being charged extra per SMS message without notification,CE-489,Idea,Idea Pipeline,Major,Andrew Frye,Andrew Frye,09/08/2022 10:30,16/12/2022 06:21,"Higham Ferrers Veterinary Clinic Ltd has been in contact to let us know that they are upset at being charged for more physical SMS messages than they have actually sent. Because SMS messages have a 160-character limit, the practice is being charged for 3 or 4 messages when only one actual SMS Message was actually sent.

The site has been looking at the Merlin Manual and the SMS Templates area when setting up their SMS reminders, which does not make this character limit clear enough, which has caused the customer to have a bigger unexpected bill for these SMS messages.

Please can we consider adding text to the Merlin Manual and SMS Templates area of Merlin to make this clear and let customers know of these potentially large charges/costs?",,Andrew Frye,Yaraslava Tkachova,5eed2c1402b4400ac4dc0b09,62e0eb6c3780798663d07fcf,,,,Improved user experience,,,Higham Ferrers Veterinary Clinic Ltd.,,,,,Communications (Email/SMS/Reminders/Internal),,Avoid large bills from us when it comes to SMS messages sent.,,,,,,,,,,,The customer was very unhappy with the bill provided last month and this was not made clear enough within the Merlin Manual or within the Merlin SMS Templates area. Merlin only suggests a limit of 612 total characters and does not specify that every 160 characters will involve a separate message being charged.,,09/08/2022 10:30
No auto scroll for appointment reasons,CE-487,Idea,Closed,Major,Jim Crumlish,Craig Herrington,28/07/2022 15:46,15/12/2022 13:05,"Bring up the create appointment pop up either from Reception, Full List or selecting free slot in diary.
Select Client and Patient
In Reasons box you are unable to type a letter to auto sort the available reasons.
E.G. need to scroll down to Ultra sound and not just start typing ult (as in pic)

This worked in Voyager",,Craig Herrington,Yaraslava Tkachova,5ecfbfd00e595d0c34457af8,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,Quickly select appointment reason by typing (search) rather than navigation.,,,,,,,,,,,,,15/12/2022 13:05
Option for 'All Sites' when setting up Schedules,CE-486,Idea,Closed,Major,Oscar Waldorf,Evelyn Seegers,27/07/2022 09:41,15/12/2022 13:04,When Creating or editing an automatic schedule for reminders. To have for work sites an 'All' option. ,,Craig Herrington,Eduardo Soroa Pina,5ecfbfd00e595d0c34457af8,5e9ebb27fd4e200c185ea007,5eed3543ab91dc0bc901d55e,62e0eb6c3780798663d07fcf,,Improved user experience,,,Blue Cross,,,,,,,We need to send reminders to each client site separately for auditing purposes but these reminders need to include all work sites as the reminder is linked to code entry (registration fee). This code can be added at various sites including non-hospital sites such as Burford,,,,,,,,,,,Auto reminders are having to be set up in a different way to manual reminders. We would like the process to be the same regardless of whether manual reminders are sent or auto reminders are sent.,,15/12/2022 13:04
Waiting list to only show appts set to arrived,CE-485,Idea,Idea Pipeline,Major,Ellie Lightowler,Ellie Lightowler,11/07/2022 10:01,16/12/2022 06:21,"Instead of the waiting list showing all appointments due in for the day, it would only show appointments that are actually waiting and have been set as ‘arrived’ by a user.",,Ellie Lightowler,Yaraslava Tkachova,5eff0aeac796b50bb20420c4,62e0eb6c3780798663d07fcf,,,,Improved user experience,,,,,,,,Diary/Daylists,,Irrelevant appointments showing in the waiting list that aren’t due in for hours. They’re not waiting so why are they shown in the list? The full list of appts can be viewed in the full list daylist.,,,,,,,,,,,,,11/07/2022 10:01
Have health care bolt ons,CE-484,Idea,Closed,Major,Bruce Wood,Bruce Wood,04/07/2022 11:31,12/12/2022 11:57,"We would like to create 'bolt-ons' for out HCP customers, whereby they can pay a little extra each month and get a free yearly blood test, urine test, blood pressure test or home delivery of flea and worm treatments.  ",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Additional functionality,,,Riverport Vets,,,,,HCP,,Without creating additional HCPs we cannot do this for animals - with 4 potential bolt-ons there is a total of 16 possible combinations.  If we create 16 combinations for each size of dog and cat then we have an unmanageable number of health care plans.  We would like to be able to add each individual bolt-on (or combination of bolt-ons) to an animal already on one of our health care plans.  This seems to mean allowing an animal to join more than one health care plan under the current system?,,,,,,,,,,,"Administering our bolt-ons is easy enough without this, but keeping track of whether an animal has had its entitlement or not is not possible without manually checking each time.  ",,12/12/2022 11:57
Idexx Interlink under SNAPshot Dx tests CPLI and FPLI,CE-483,Idea,Closed,Major,Oscar Waldorf,Oscar Waldorf,30/06/2022 08:16,12/12/2022 11:55,Under SNAPshot Dx CPLI not available when doing Idexx new request. ,,Oscar Waldorf,,5eed3546e145af0ab4a603b1,,,,,,,,,,,,,,,Creating the option to create an Idexx Interlink request for PLI (canine & ideally feline as well),,,,,,,,,,,"We are not able to link results to the patients records, so that they are easily accessible with other in house lab results.   ",,12/12/2022 11:55
Reports customisation,CE-482,Epic,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/12/2022 10:30,"There is a requirement for specialized reports, so that we can meet regulatory and financial obligations",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 08:13
ASN Improvements (Feedback),CE-481,Idea,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,14/04/2023 18:55,"HI Andy,

Give me a call when free.  Thanks for helping fine tune this.   All the feedback is intended to make this work well for us both. 

To surmise some points to cover.

Dangerous drugs - The Biggest challenge .   
1.	A hard copy order was lost.  
2.	Up to 8d for delivery,  lways take alot longer than Covetrus.   
3.	Seemed that you were too busy to fulfill these at times?  We found out tht MWI had a pile of these to process.
4.	We have upped our stock levels to counter this but reception are finding this very hard.   At times clients have not got their meds which makes us look bad.
5.	We are nearly at the point of moving d/d's back to Covetrus as it is really hard to manage.

Back orders - Second biggest challenge- 
1.	We need an Abandon BUtton on Merlin for individual items.  
2.	The dunlops ordering is easier to use through merlin, could we bin ASN and do it that way?  Reception perceive no benefit of ASN.
3.	Training has been arranged through Kate to ensure this is not user ability at our end
4.	Back order dates.    MWI says ""possibly maybe mid November if the wind is blowing a SouthWesterly"".    Covetrus sends the below table, you should copy this?  
5.	Centaur tells us items are out of stock.   then we order them from someone else, then Centaur sends them the next day, they were actually in the other warehouse (Your stock control isn't too tight)
6.	We simply would like more items to say they are in stock and arrive the following day. 
product	description	quantity	Our Ref	Customer Ref	expected	chilled
PFSTR44	STRONGHOLD PLUS MED CAT 0.5ML 3 PIPETTE	6	15522124	23687280	2021-11-30	 

Availability of Stock
1.	You have significantly less available stock than Covetrus.   We are now buying isolated items from Covetrus because you do not have lines in stock. Up your stockholding?
2.	I  think many less planned stock lines than Covetrus?

Condition of Stock
1.	Reception tell me that this is all good now.   Thankyou",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022 11:53
Wholesale ,CE-480,Epic,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,14/04/2023 17:43,"There is a requirement to improve the product ordering process, to improve customer satisfaction and increase adoption",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Report Wizard,CE-479,Epic,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/12/2022 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Clinical - Treatment Popups workflow,CE-478,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,12/12/2022 11:49,"Reduce the number of popups that display when adding a treatment, can these be combined into one screen?

Background:

Currently asks vet for batch number when dispensing a treatment and printing a label. Consider workflow change. (Vet does not always know batch number when dispensing).",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022 11:49
Health Care Plan Improvements,CE-477,Epic,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/12/2022 11:11,"As a Merlin user

I want the system to automatically apply or remove HCP 

so that have a more efficient end to end process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Clinical - Display Current Stock level when dispensing stock,CE-476,Idea,Idea Pipeline,,Craig Herrington,Craig Herrington,20/06/2022 15:46,16/12/2022 06:20,"As a user I want to be able to see the stock level of an item prior to dispensing the treatment.

Background: Currently the stock level is displayed after entering all treatment details at the end of the workflow rather than at the end.",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Administration/Configuration,CE-475,Epic,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/06/2022 15:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Email Monthly Invoices,CE-474,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,09/12/2022 06:27,"As a large animal practice, we want to send invoices out to our client monthly via email.

Background: Can only print currently.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/12/2022 06:27
Standard Reports,CE-473,Epic,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/12/2022 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Diary - New Diary View (One Scroll Bar),CE-472,Idea,Idea Pipeline,,Craig Herrington,Craig Herrington,20/06/2022 15:46,12/12/2022 11:41,"As a user I want the ability to scroll through the day's appointment schedule so I can easily see when an appointment slot is available.

Background: Currently can only scroll per Surgeon.",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Code Entry,CE-471,Epic,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/12/2022 10:41,"There is a requiremt to improve clinical workflow, so that users can be more efficient and increase productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Remove front-end sensitive config. info,CE-470,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,12/12/2022 10:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022 10:03
Communications (SMS & Email),CE-469,Epic,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/12/2022 10:54,"There is a requirement to ensure the right information is communicated to clients in time, so that clients are kept updated with important details ( appointments, test results, invoices etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
"Merlin UI - Branding Colours, Fonts & Iconography",CE-468,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,12/12/2022 11:39,"As Merlin is an MWI Animal Health UK product, the product should meet branding standards.
This would also help to modernise the look & feel of the product.",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022 11:39
Labs enhancements,CE-467,Epic,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/12/2022 11:05,"As a Merlin User,

I want to be able to retrieve lab results

So that the best treatment can be offered to patients",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Accounts - Exclude Insurance from Debtors,CE-466,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,12/12/2022 11:38,"As a user I want the ability to exclude insurance debt from my Debtors run so that i can chase for debt owed by Pet Owner only.

I want to run debt by all debt, non-insurance and insurance only",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022 11:38
PVA Impact Assessment,CE-465,Epic,Discovery,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/06/2022 15:46,As a user I can join a PVA Health Care Plan and the items are fulfilled by MWI Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
"New Features, Defects & Improvements",CE-464,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,09/12/2022 06:23,"As a user I want to see information on new features, defects and improvements after an upgrade/patch.

Background: Currently, only around 25% of users view the release notes on the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/12/2022 06:23
Admin - Eligibility Front-end,CE-463,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,22/12/2022 15:12,"MWI currently implement Eligibility Rules through the back-end of the system.
As a user, I would like to do this through the front-end of the system so that I do not have to ask MWI to implement on our behalf.",,Craig Herrington,Yaraslava Tkachova,5ecfbfd00e595d0c34457af8,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2022 15:12
Admin - Clinical Protocols Front-end,CE-462,Idea,Idea Pipeline,,Craig Herrington,Craig Herrington,20/06/2022 15:46,16/12/2022 06:19,"MWI currently implement Clinical Protocols through the back-end of the system.
As a user, I would like to do this through the front-end of the system so that I do not have to ask MWI to implement on our behalf.",,,,,,,,,,,,,,,,,Clinical,,,,,,,,,,,,,,,20/06/2022 15:46
Clinical Treatments,CE-461,Epic,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/12/2022 11:19,"There is a requirement to be able to perform key critical clinical activities from the front end, so that we can support clients quicker and not wait for backend resolution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Client Mgmt - Add notes to Phone Numbers/Emails,CE-460,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,09/12/2022 06:21,"As a user I want the ability to add a note against a mobile number or email so that I have a reference as to who the number belongs to when registering multiple contact numbers against a client

Note: Consider re-design of contact mgmt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/12/2022 06:21
Merlin UI,CE-459,Epic,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/12/2022 10:34,There is a requirement to optimize the Merlin interface so that it is easier and more intuitive for users.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Client Mgmt - Account Categories Symbols & Popups,CE-458,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:45,"As a user I want the ability to specify which Account Categories display a popup and a symbol in the diary so that clients of a certain category can be easily identified.

Background: Currently this only happens for bad debtors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:45
Patient Management,CE-457,Epic,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/12/2022 11:01,"Improvements to existing module functionality and resolution of known defects within module.

As a user I can register all relevant information for patients",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Click & Drag Availability Slots,CE-456,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:45,"As a user I can move availability from one surgeon to another.
Any existing appointments will be moved from one surgeon to another.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:45
Client Mgmt - Merge Clients,CE-455,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:44,As a user I want the ability to Merge two clients so that our data is more accurate and does not contain duplicates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:44
Client Management,CE-454,Epic,Analysis,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/06/2022 15:46,"Improvements to existing module functionality and resolution of known defects within module.

As a user I can register all relevant information for Clients",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Copy & Paste Availability Slots,CE-453,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:43,"As a user I want to be able to copy availability for one day and paste it to another availability slot for the same, or another surgeon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:43
Large T-Shirt Sized Improvements,CE-452,Epic,Idea Pipeline,,Craig Herrington,Craig Herrington,20/06/2022 15:46,20/06/2022 15:46,"These improvements are required to improve the user experience of the Core PMS, however they are changes that require a large amount of discovery and implementation time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Add filter by Account Category,CE-451,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:42,As a user I want the ability to filter by Account Category when running standard reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:42
Introduced by Filter,CE-450,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:42,As a user I want the ability to filter clients by introduced by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:42
HCP Filters,CE-449,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:42,"As a user I want the ability to search for Clients/Patients by HCP Status, Start Date, End Date and plan when reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:42
